City1,City2,Distance,Time,Cost
Aberdeen,Minneapolis,257,71,458
Abilene,Dallas/Fort Worth,158,64,179
Abilene,Houston,307,76,107
Akron,Charlotte,394,100,155
Akron,Chicago,343,83,163
Akron,Fort Myers,991,152,143
Akron,Orlando,861,136,103
Akron,Philadelphia,335,81,189
Akron,Tampa,894,141,155
Akron,Washington,251,74,138
Alamosa,Denver,179,59,7
Albany,Atlanta,332,76,194
Albany,Baltimore,289,72,147
Albany,Charlotte,646,128,184
Albany,Chicago,721,132,162
Albany,Denver,1610,226,191
Albany,Detroit,489,98,197
Albany,Fort Lauderdale,1204,185,177
Albany,Hartford,80,39,238
Albany,Newark,143,66,147
Albany,Orlando,1073,170,128
Albany,Philadelphia,212,71,178
Albany,Punta Gorda,1185,181,76
Albany,St. Petersburg,1138,175,65
Albany,Tampa,1130,173,179
Albany,Washington,323,90,139
Albuquerque,Atlanta,1269,184,224
Albuquerque,Austin,619,104,132
Albuquerque,Baltimore,1670,230,170
Albuquerque,Chicago,1120,176,194
Albuquerque,Dallas,580,101,154
Albuquerque,Dallas/Fort Worth,569,114,158
Albuquerque,Denver,349,77,124
Albuquerque,Houston,751,129,179
Albuquerque,Kansas City,718,110,146
Albuquerque,Las Vegas,486,85,135
Albuquerque,Los Angeles,677,115,171
Albuquerque,New York,1826,262,188
Albuquerque,Oakland,889,136,152
Albuquerque,Phoenix,328,75,146
Albuquerque,Portland,1111,165,131
Albuquerque,Salt Lake City,493,100,180
Albuquerque,San Antonio,609,105,151
Albuquerque,San Diego,628,99,136
Albuquerque,San Francisco,896,144,174
Albuquerque,Seattle,1180,176,136
Alexandria,Atlanta,500,97,262
Alexandria,Dallas/Fort Worth,285,78,203
Alexandria,Houston,190,63,261
Allentown/Bethlehem/Easton,Atlanta,692,119,192
Allentown/Bethlehem/Easton,Charlotte,481,104,171
Allentown/Bethlehem/Easton,Chicago,654,119,243
Allentown/Bethlehem/Easton,Detroit,425,95,262
Allentown/Bethlehem/Easton,Fort Lauderdale,1041,182,99
Allentown/Bethlehem/Easton,Nashville,685,112,99
Allentown/Bethlehem/Easton,Punta Gorda,1018,161,88
Allentown/Bethlehem/Easton,Sanford,882,144,75
Allentown/Bethlehem/Easton,Sarasota/Bradenton,1000,163,91
Allentown/Bethlehem/Easton,St. Petersburg,970,155,78
Allentown/Bethlehem/Easton,Washington,159,62,172
Alpena,Detroit,198,60,173
Amarillo,Dallas,323,67,133
Amarillo,Dallas/Fort Worth,312,80,152
Amarillo,Denver,359,85,170
Amarillo,Houston,517,109,209
Amarillo,Las Vegas,758,118,141
Anchorage,Barrow,725,114,237
Anchorage,Bethel,399,73,186
Anchorage,Cold Bay,620,105,354
Anchorage,Cordova,160,51,174
Anchorage,Deadhorse,626,101,376
Anchorage,Denver,2405,319,286
Anchorage,Dillingham,329,64,274
Anchorage,Fairbanks,261,61,155
Anchorage,Honolulu,2777,365,319
Anchorage,Juneau,571,102,223
Anchorage,Kahului,2797,362,359
Anchorage,King Salmon,288,68,275
Anchorage,Kodiak,253,59,194
Anchorage,Kona,2874,370,341
Anchorage,Kotzebue,548,91,242
Anchorage,Los Angeles,2345,316,239
Anchorage,Minneapolis,2519,332,313
Anchorage,Nome,539,94,228
Anchorage,Phoenix,2552,336,239
Anchorage,Portland,1542,217,239
Anchorage,Salt Lake City,2125,287,259
Anchorage,Seattle,1448,208,230
Appleton,Atlanta,765,131,225
Appleton,Charlotte,742,139,192
Appleton,Chicago,161,69,215
Appleton,Detroit,296,81,202
Appleton,Las Vegas,1510,217,149
Appleton,Minneapolis,236,71,184
Appleton,Nashville,570,96,100
Appleton,Phoenix,1452,200,153
Appleton,Punta Gorda,1250,183,134
Appleton,Sanford,1141,168,121
Appleton,St. Petersburg,1173,173,120
Arcata/Eureka,Los Angeles,577,106,193
Arcata/Eureka,San Francisco,250,62,221
Asheville,Atlanta,164,54,200
Asheville,Baltimore,414,79,93
Asheville,Boston,783,128,118
Asheville,Charlotte,91,63,157
Asheville,Chicago,536,115,157
Asheville,Dallas/Fort Worth,848,143,195
Asheville,Fort Lauderdale,660,113,79
Asheville,Houston,843,133,138
Asheville,Newark,583,108,120
