City1,City2,Distance,Time,Cost
Aberdeen SD,Minneapolis MN,257,71,458
Abilene TX,Dallas/Fort Worth TX,158,64,179
Abilene TX,Houston TX,307,76,107
Akron OH,Charlotte NC,394,100,155
Akron OH,Chicago IL,343,83,163
Akron OH,Fort Myers FL,991,152,143
Akron OH,Orlando FL,861,136,103
Akron OH,Philadelphia PA,335,81,189
Akron OH,Tampa FL,894,141,155
Akron OH,Washington DC,251,74,138
Alamosa CO,Denver CO,179,59,7
Albany GA,Atlanta GA,145,52,119
Albany NY,Atlanta GA,853,141,202
Albany NY,Baltimore MD,289,72,127
Albany NY,Charlotte NC,646,128,181
Albany NY,Chicago IL,721,132,159
Albany NY,Denver CO,1610,226,189
Albany NY,Detroit MI,489,98,198
Albany NY,Fort Lauderdale FL,1204,185,177
Albany NY,Newark NJ,143,66,196
Albany NY,Orlando FL,1073,170,127
Albany NY,Philadelphia PA,212,71,174
Albany NY,Punta Gorda FL,1185,181,76
Albany NY,St. Petersburg FL,1138,175,65
Albany NY,Tampa FL,1130,173,179
Albany NY,Washington DC,323,90,127
Albuquerque NM,Atlanta GA,1269,184,224
Albuquerque NM,Austin TX,619,104,132
Albuquerque NM,Baltimore MD,1670,230,170
Albuquerque NM,Chicago IL,1120,176,194
Albuquerque NM,Dallas TX,580,101,154
Albuquerque NM,Dallas/Fort Worth TX,569,114,158
Albuquerque NM,Denver CO,349,77,124
Albuquerque NM,Houston TX,751,129,179
Albuquerque NM,Kansas City MO,718,110,146
Albuquerque NM,Las Vegas NV,486,85,135
Albuquerque NM,Los Angeles CA,677,115,171
Albuquerque NM,New York NY,1826,262,188
Albuquerque NM,Oakland CA,889,136,152
Albuquerque NM,Phoenix AZ,328,75,146
Albuquerque NM,Portland OR,1111,165,128
Albuquerque NM,Salt Lake City UT,493,100,180
Albuquerque NM,San Antonio TX,609,105,151
Albuquerque NM,San Diego CA,628,99,136
Albuquerque NM,San Francisco CA,896,144,174
Albuquerque NM,Seattle WA,1180,176,136
Alexandria LA,Atlanta GA,500,97,262
Alexandria LA,Dallas/Fort Worth TX,285,78,203
Alexandria LA,Houston TX,190,63,261
Allentown/Bethlehem/Easton PA,Atlanta GA,692,119,192
Allentown/Bethlehem/Easton PA,Charlotte NC,481,104,171
Allentown/Bethlehem/Easton PA,Chicago IL,654,119,243
Allentown/Bethlehem/Easton PA,Detroit MI,425,95,262
Allentown/Bethlehem/Easton PA,Fort Lauderdale FL,1041,182,99
Allentown/Bethlehem/Easton PA,Nashville TN,685,112,99
Allentown/Bethlehem/Easton PA,Punta Gorda FL,1018,161,88
Allentown/Bethlehem/Easton PA,Sanford FL,882,144,75
Allentown/Bethlehem/Easton PA,Sarasota/Bradenton FL,1000,163,91
Allentown/Bethlehem/Easton PA,St. Petersburg FL,970,155,78
Allentown/Bethlehem/Easton PA,Washington DC,159,62,172
Alpena MI,Detroit MI,198,60,173
Amarillo TX,Dallas TX,323,67,133
Amarillo TX,Dallas/Fort Worth TX,312,80,152
Amarillo TX,Denver CO,359,85,170
Amarillo TX,Houston TX,517,109,209
Amarillo TX,Las Vegas NV,758,118,141
Anchorage AK,Barrow AK,725,114,237
Anchorage AK,Bethel AK,399,73,186
Anchorage AK,Cold Bay AK,620,105,354
Anchorage AK,Cordova AK,160,51,174
Anchorage AK,Deadhorse AK,626,101,376
Anchorage AK,Denver CO,2405,319,286
Anchorage AK,Dillingham AK,329,64,274
Anchorage AK,Fairbanks AK,261,61,155
Anchorage AK,Honolulu HI,2777,365,319
Anchorage AK,Juneau AK,571,102,223
Anchorage AK,Kahului HI,2797,362,359
Anchorage AK,King Salmon AK,288,68,275
Anchorage AK,Kodiak AK,253,59,194
Anchorage AK,Kona HI,2874,370,341
Anchorage AK,Kotzebue AK,548,91,242
Anchorage AK,Los Angeles CA,2345,316,239
Anchorage AK,Minneapolis MN,2519,332,313
Anchorage AK,Nome AK,539,94,228
Anchorage AK,Phoenix AZ,2552,336,239
Anchorage AK,Portland OR,1542,217,237
Anchorage AK,Salt Lake City UT,2125,287,259
Anchorage AK,Seattle WA,1448,208,230
Appleton WI,Atlanta GA,765,131,225
Appleton WI,Charlotte NC,742,139,192
Appleton WI,Chicago IL,161,69,215
Appleton WI,Detroit MI,296,81,202
Appleton WI,Las Vegas NV,1510,217,149
Appleton WI,Minneapolis MN,236,71,184
Appleton WI,Nashville TN,570,96,100
Appleton WI,Phoenix AZ,1452,200,153
Appleton WI,Punta Gorda FL,1250,183,134
Appleton WI,Sanford FL,1141,168,121
Appleton WI,St. Petersburg FL,1173,173,120
Arcata/Eureka CA,Los Angeles CA,577,106,193
Arcata/Eureka CA,San Francisco CA,250,62,221
Asheville NC,Atlanta GA,164,54,200
Asheville NC,Baltimore MD,414,79,93
Asheville NC,Boston MA,783,128,118
Asheville NC,Charlotte NC,91,63,157
Asheville NC,Chicago IL,536,115,157
Asheville NC,Dallas/Fort Worth TX,848,143,195
Asheville NC,Fort Lauderdale FL,660,113,79
Asheville NC,Houston TX,843,133,138
Asheville NC,Newark NJ,583,108,120
Asheville NC,Philadelphia PA,504,98,172
Asheville NC,Punta Gorda FL,588,98,60
Asheville NC,Sanford FL,465,86,49
Asheville NC,Sarasota/Bradenton FL,554,97,75
Asheville NC,St. Petersburg FL,519,94,54
Asheville NC,Washington DC,370,93,170
Asheville NC,West Palm Beach/Palm Beach FL,620,108,92
Ashland WV,Charlotte NC,235,82,67
Ashland WV,Punta Gorda FL,790,117,74
Ashland WV,Sanford FL,665,106,57
Ashland WV,St. Petersburg FL,721,111,67
Aspen CO,Chicago IL,1013,176,247
Aspen CO,Dallas/Fort Worth TX,701,140,308
Aspen CO,Denver CO,125,57,244
Aspen CO,Houston TX,913,159,330
Aspen CO,Los Angeles CA,737,127,256
Aspen CO,Phoenix AZ,491,111,221
Aspen CO,San Francisco CA,848,146,276
Atlanta GA,Augusta GA,143,52,128
Atlanta GA,Austin TX,813,131,162
Atlanta GA,Baltimore MD,577,105,128
Atlanta GA,Baton Rouge LA,448,87,226
Atlanta GA,Birmingham AL,134,52,215
Atlanta GA,Bloomington/Normal IL,533,101,227
Atlanta GA,Boise ID,1838,255,242
Atlanta GA,Boston MA,946,152,175
Atlanta GA,Bozeman MT,1640,229,310
Atlanta GA,Bristol/Johnson City/Kingsport TN,227,60,192
