City,Latitude,Longitude
Aberdeen SD,45.449,-98.422
Abilene TX,32.411,-99.682
Akron OH,40.916,-81.442
Alamosa CO,37.435,-105.867
Albany GA,31.535,-84.195
Albany NY,42.748,-73.802
Albuquerque NM,35.04,-106.609
Alexandria LA,31.327,-92.55
Allentown/Bethlehem/Easton PA,40.652,-75.441
Alpena MI,45.078,-83.56
Amarillo TX,35.219,-101.706
Anchorage AK,61.174,-149.996
Appleton WI,44.258,-88.519
Arcata/Eureka CA,40.978,-124.109
Asheville NC,35.436,-82.542
Ashland WV,38.367,-82.558
Aspen CO,39.223,-106.869
Atlanta GA,33.637,-84.428
Atlantic City NJ,39.458,-74.577
Augusta GA,33.37,-81.965
Austin TX,30.194,-97.67
Bakersfield CA,35.434,-119.057
Baltimore MD,39.175,-76.668
Bangor ME,44.807,-68.828
Barrow AK,71.285,-156.766
Baton Rouge LA,30.533,-91.15
Beaumont/Port Arthur TX,29.951,-94.021
Belleville IL,38.545,-89.835
Bellingham WA,48.793,-122.538
Bemidji MN,47.509,-94.934
Bend/Redmond OR,44.254,-121.15
Bethel AK,60.78,-161.838
Billings MT,45.808,-108.543
Binghamton NY,42.209,-75.98
Birmingham AL,33.563,-86.754
Bismarck/Mandan ND,46.773,-100.746
Bloomington/Normal IL,40.477,-88.916
Boise ID,43.564,-116.223
Boston MA,42.364,-71.005
Bozeman MT,45.778,-111.153
Brainerd MN,46.398,-94.138
Bristol/Johnson City/Kingsport TN,36.475,-82.407
Brownsville TX,25.907,-97.426
Brunswick GA,31.259,-81.466
Buffalo NY,42.94,-78.732
Burbank CA,34.201,-118.359
Burlington VT,44.472,-73.153
Butte MT,45.955,-112.497
Cape Girardeau MO,37.225,-89.571
Casper WY,42.908,-106.464
Cedar City UT,37.701,-113.099
Cedar Rapids/Iowa City IA,41.885,-91.711
Champaign/Urbana IL,40.039,-88.278
Charleston SC,32.899,-80.04
Charleston/Dunbar WV,38.373,-81.593
Charlotte Amalie VI,18.337,-64.973
Charlotte NC,35.214,-80.943
Charlottesville VA,38.139,-78.453
Chattanooga TN,35.035,-85.204
Cheyenne WY,41.156,-104.812
Chicago IL,41.882,-87.829
Christiansted VI,17.702,-64.799
Cincinnati OH,39.049,-84.668
Clarksburg/Fairmont WV,39.297,-80.228
Cleveland OH,41.412,-81.85
Cody WY,44.52,-109.024
Cold Bay AK,55.206,-162.725
College Station/Bryan TX,30.589,-96.364
Colorado Springs CO,38.806,-104.701
Columbia MO,38.818,-92.22
Columbia SC,33.939,-81.119
Columbus GA,32.516,-84.939
Columbus MS,33.45,-88.591
Columbus OH,39.906,-82.91
Concord NC,35.388,-80.709
Cordova AK,60.492,-145.478
Corpus Christi TX,27.77,-97.501
